name,type,latitude,longitude
GWFGT1_7_B1,Generation Node,36.2416,-119.9
GWFGT2_7_B1,Generation Node,36.2416,-119.9
HENRITTA_6_N101,Load Node,36.2416,-119.9
CURTIS1_7_N001,Load Node,37.9749,-120.32
SONOFR2_7_B1,Generation Node,33.3697,-117.55
SONOFR3_7_B1,Generation Node,33.3693,-117.55
SONOFRE_2_N001,Load Node,33.3697,-117.55
SONOFRE_2_N067,Load Node,33.3697,-117.55
CURTISS_1_N010,Generation Node,37.9749,-120.32
CURTISS_1_N101,Load Node,37.9749,-120.32
FBERBORD_1_N001,Generation Node,37.97,-120.3
ENCNITAS_6_N001,Load Node,33.0506,-117.29
ENCNITAS_6_N004,Load Node,33.0506,-117.29
ENCNITAS_6_N011,Load Node,33.0506,-117.29
ANNAPOLS_6_N001,Load Node,38.6803,-123.31
AVOCADO_6_N001,Load Node,33.3847,-117.24
AVOCADO_6_N002,Load Node,33.3847,-117.24
KEARNEY_7_B3,Generation Node,36.7044,-119.88
KEARNEY_7_N003,Load Node,32.8329,-117.13
MI-WUK_1_N001,Load Node,38.0527,-120.22
RICE_6_N002,Load Node,39.4028,-122.01
RICE_6_N101,Load Node,39.4028,-122.01
SPRINGVL_6_N004,Generation Node,36.1058,-118.94
SPRINGVL_6_N002,Generation Node,36.1058,-118.94
SPRINGVL_6_N006,Generation Node,36.1058,-118.94
SPRINGVL_6_N001,Load Node,36.1058,-118.94
MESARIM_6_N001,Load Node,32.9049,-117.17
MESARIM_6_N007,Load Node,32.9049,-117.17
MESARIM_6_N008,Load Node,32.9049,-117.17
MESARIM_6_N012,Load Node,32.9049,-117.17
GOULD_2_N001,Load Node,34.2215,-118.19
GOULD_2_N007,Load Node,34.2215,-118.19
FROGTOWN_7_N001,Load Node,38.0565,-120.53
FROGTOWN_7_N003,Generation Node,38.0565,-120.53
COLUSA_6_N001,Load Node,39.2136,-122
COLUSA_6_N004,Load Node,39.2136,-122
RTRACK_1_N001,Load Node,37.9797,-120.41
MONSRATE_6_N001,Load Node,33.3291,-117.24
MONSRATE_6_N007,Load Node,33.3291,-117.24
ARBUCKLE_6_N001,Load Node,39.0176,-122.06
LIVNGSTN_6_N001,Load Node,37.3633,-120.76
UCM_6_N001,Load Node,32.8836,-117.22
UCM_6_N002,Load Node,32.8836,-117.22
UCM_6_N006,Load Node,32.8836,-117.22
LAJOLLA_6_N001,Load Node,32.8401,-117.28
LAJOLLA_6_N007,Load Node,32.8401,-117.28
GENESEE_6_N001,Load Node,32.8797,-117.21
GENESEE_6_N005,Load Node,32.8797,-117.21
GENESEE_6_N011,Load Node,32.8797,-117.21
GENESEE_6_N015,Load Node,32.8797,-117.21
PENDLETN_6_N001,Load Node,33.3093,-117.34
PENDLETN_6_N004,Load Node,33.3093,-117.34
STUART_6_N001,Load Node,33.2567,-117.42
OWNBRKWY_1_N001,Load Node,37.72,-122.22
TOREYPNS_6_N001,Load Node,32.8987,-117.24
TOREYPNS_6_N007,Load Node,32.8987,-117.24
TOREYPNS_6_N008,Load Node,32.8987,-117.24
TOREYPNS_6_N009,Load Node,32.8987,-117.24
DELMAR_6_N001,Load Node,38.7988,-121.22
DELMAR_6_N010,Load Node,32.9808,-117.26
DELMAR_6_N011,Load Node,32.9808,-117.26
GONZALES_6_N001,Load Node,36.5089,-121.45
GONZALES_6_N003,Load Node,36.5089,-121.45
OCEANSDE_6_N001,Load Node,33.1968,-117.38
OCEANSDE_6_N002,Load Node,33.1968,-117.38
HOLM1_7_B1,Generation Node,37.83,-119.99
HOLM2_7_B1,Generation Node,37.86,-120
JENNY_1_N001,Load Node,37.77,-122.26
JENNY_1_N008,Load Node,37.77,-122.26
STATINJ_1_N001,Load Node,37.7633,-122.21
STATINJ_1_N012,Load Node,37.7633,-122.21
STATINJ_1_N027,Load Node,37.77,-122.22
SNDBRJT_1_B1,Generation Node,38.19,-120.12
ROSECYN_6_N001,Load Node,32.8445,-117.24
ROSECYN_6_N017,Load Node,32.8445,-117.24
DUNHILL_6_N001,Load Node,32.9015,-117.23
CHSTN_115_B1,Generation Node,38.09,-120.3
CHSTN_1_N001,Load Node,38.09,-120.3
ELCAJNGT_7_B3,Generation Node,32.7954,-116.97
ELCAJNGT_7_N001,Load Node,32.7954,-116.97
MIRAMAR_6_N001,Load Node,32.894,-117.14
MIRAMAR_6_N004,Load Node,32.894,-117.14
MIRAMAR_6_N017,Load Node,32.894,-117.14
BALFOUR_6_N001,Load Node,37.926,-121.68
FENTON_6_N001,Load Node,32.895,-117.16
ELCAJNGT_7_N004,Load Node,32.7954,-116.97
RIVRBANK_1_N001,Load Node,37.7689,-120.91
EDES_1_N001,Load Node,37.7388,-122.19
EDES_1_N003,Load Node,37.7388,-122.19
MIRAMREF_7_B1,Generation Node,32.894,-117.14
EASTGATE_6_N004,Generation Node,32.885,-117.2
EASTGATE_6_N101,Load Node,32.885,-117.2
EASTGATE_6_N201,Load Node,32.885,-117.2
MOROHILL_6_N001,Load Node,33.2522,-117.3
DONNELLS_7_B1,Generation Node,38.24,-120.03
OLETA_6_N001,Load Node,38.4806,-120.84
OLETA_6_N003,Load Node,38.4806,-120.84
STANISLS_7_B1,Generation Node,38.15,-120.36
STANISLS_1_B1,Generation Node,38.14,-120.37
STANISLS_1_N001,Load Node,38.14,-120.37
KYOCERA_6_N001,Load Node,32.8198,-117.14
SNTHLNE_6_N001,Load Node,37.6224,-122.45
SNTHLNE_6_N002,Load Node,37.6224,-122.45
PALA_6_N001,Load Node,33.3559,-117.11
MESAHGTS_6_N001,Load Node,32.8296,-117.16
MESAHGTS_6_N007,Load Node,32.8296,-117.16
MESAHGTS_6_N011,Generation Node,32.8296,-117.16
CLAIRMNT_6_N001,Load Node,32.8259,-117.18
CLAIRMNT_6_N008,Load Node,32.8259,-117.18
RVRBANK_1_N001,Load Node,37.7689,-120.91
RVRBANK_1_N005,Load Node,37.7689,-120.91
RSNTAFE_6_N001,Load Node,33.0143,-117.2
RSNTAFE_6_N008,Load Node,33.0143,-117.2
RSNTAFE_6_N009,Load Node,33.0143,-117.2
FORTRSS_6_N001,Load Node,38.5396,-123.22
MORMON_6_N001,Load Node,37.9687,-121.19
PLAINFLD_6_N001,Load Node,38.6189,-121.79
SANCRLS_6_N001,Load Node,37.4997,-122.24
SANCRLS_6_N002,Load Node,37.4997,-122.24
SANCRLS_6_N004,Load Node,37.4997,-122.24
SAUSALTO_6_N001,Load Node,37.8634,-122.5
SAUSALTO_6_N002,Load Node,37.8634,-122.5
CAMPHORA_6_N001,Load Node,36.4683,-121.39
CAMPHORA_6_N003,Load Node,36.4683,-121.39
DMTARSL_1_N001,Load Node,37.7,-122.15
CABRILLO_6_N001,Load Node,32.7074,-117.25
CABRILLO_6_N004,Load Node,32.7074,-117.25
CABRILLO_6_N011,Generation Node,32.7074,-117.25
PACFCBCH_6_N001,Load Node,32.7992,-117.24
PACFCBCH_6_N004,Load Node,32.7992,-117.24
GRBRVLLE_6_N001,Load Node,40.1026,-123.79
MURRAY_6_N001,Load Node,32.7908,-117.02
MURRAY_6_N004,Load Node,32.7908,-117.02
MURRAY_6_N005,Load Node,32.7908,-117.02
MURRAY_6_N015,Load Node,32.7908,-117.02
RUSSRCH_6_N001,Load Node,40.8198,-123.83
REDWOOD_6_N002,Load Node,37.4903,-122.21
REDWOOD_6_N005,Load Node,37.4903,-122.21
REDWOOD_6_N006,Load Node,37.4903,-122.21
REDWOOD_6_N007,Load Node,37.4903,-122.21
REDWOOD_6_N001,Load Node,37.4903,-122.21
GARFIELD_6_N001,Load Node,32.7951,-117
DAVIS_1_N001,Load Node,39.06,-121.71
DAVIS_1_N007,Load Node,39.06,-121.71
DAVIS_1_N018,Generation Node,39.06,-121.71
DAVIS_1_N012,Load Node,39.06,-121.71
PACIFICA_6_N001,Load Node,37.5946,-122.49
PACIFICA_6_N003,Load Node,37.5946,-122.49
SNTARTA_6_N001,Load Node,37.0551,-120.63
CREELMAN_6_N004,Load Node,33.0181,-116.85
CREELMAN_6_N001,Load Node,33.0181,-116.85
CREELMAN_6_N014,Load Node,33.0181,-116.85
SCRIPPS_6_N001,Load Node,32.9111,-117.11
SCRIPPS_6_N008,Load Node,32.9111,-117.11
SCRIPPS_6_N013,Load Node,32.9111,-117.11
BARRY_6_N001,Load Node,39.0693,-121.69
SANLUSRY_6_N013,Load Node,36.7796,-120.73
SANLUSRY_6_N014,Load Node,36.7796,-120.73
SANLUSRY_6_N101,Load Node,36.7796,-120.73
SANLUSRY_6_N201,Load Node,36.8615,-120.78
STANDFD2_1_N011,Generation Node,37.43,-122.17
WARNERS_6_N001,Load Node,33.2472,-116.68
EAGLROCK_2_N001,Load Node,38.8293,-122.81
EAGLROCK_2_N012,Load Node,38.8293,-122.81
RINCON_6_N001,Load Node,33.2859,-116.96
RINCON_6_N008,Load Node,38.4901,-122.67
DALYCTY_1_N001,Load Node,37.6917,-122.46
DALYCTY_1_N005,Load Node,37.6917,-122.46
LAGUNITS_6_N001,Load Node,36.7489,-121.61
CPELCAJN_7_B1,Generation Node,32.7954,-116.97
BATIQTOS_1_N001,Load Node,33.1011,-117.25
BATIQTOS_1_N008,Load Node,33.1011,-117.25
BATIQTOS_1_N015,Load Node,33.1011,-117.25
